year,year_return,start_equity,end_equity
2013,0.042147017264033915,1000000.0,1042147.017264034
2014,0.5720443169782974,1042617.53728738,1639040.9742745338
2015,-0.02098668164406503,1632383.3263405738,1598125.0171495844
2016,0.07343838079715725,1623260.912564502,1742470.5655945549
2017,0.31394503881853497,1755500.8864754448,2306631.680425951
2018,-0.10642254127121853,2286943.665479967,2043561.3088554733
2019,-0.012312297568656927,2043464.0562157028,2018304.3186847204
2020,0.4242713653637662,2022609.2215320107,2880744.397548741
2021,0.7504352176140507,2900298.4994774517,5076784.635078518
2022,0.01600504758470489,5108678.942333309,5190443.591900334
2023,0.47522957735810856,5203238.358540043,7675971.124562526
2024,0.24420441045752828,7711900.40211227,9595180.493317273
2025,-0.09919609472043467,9737146.813232785,8771259.875640567
